8063	170
44241	202
1055933	216
678381	214
210148	214
280037	214
54961	202
93501	211
584423	215
1066103	215
82619	208
261585	215
8927	174
206085	214
190794	213
66366	209
56079	205
83677	209
7009	164
45899	203
63734	209
595206	215
59892	209
75524	212
45515	206
46399	207
401846	215
512872	215
37353	202
378415	215
241165	213
1096383	215
31791	195
1408	116
52756	201
405621	215
217841	215
228993	213
670762	215
758294	215
21780	193
279450	214
19256	192
27792	194
32396	200
64765	209
280540	215
296367	215
123081	210
72500	209
314869	211
52810	203
208224	213
33186	202
979092	215
351727	215
498424	215
170299	213
238707	213
9031	173
29247	202
49145	203
186780	214
233740	215
49145	204
199959	213
12515	180
23033	191
243238	215
692084	215
61906	207
139686	211
79011	210
192353	215
29405	197
147537	211
307741	213
413092	215
177993	213
76731	207
63489	208
85196	211
61983	208
412870	215
94630	211
10100	172
248715	215
175771	213
599567	215
70219	207
115260	211
364396	215
212049	214
401	82
6596	160
196274	214
2612	140
690070	215
65808	206
427782	215
405346	215
262441	215
389850	214
277971	215
68450	208
43657	204
156866	213
126690	212
40881	205
10872	180
236928	215
69426	209
165227	214
130397	214
43590	202
377411	214
56668	207
34610	202
72611	210
337725	214
80619	206
129030	210
74202	209
664267	215
905513	215
174910	213
91452	210
13830	182
94594	214
200147	214
94619	212
118277	213
35749	201
183238	212
138061	214
3489	151
13177	186
278056	215
20447	190
67720	212
663004	216
251399	215
7226	169
44352	205
35116	205
53383	205
91750	211
19824	192
4025	151
807980	215
42759	203
36824	203
196176	214
242961	215
217031	214
43807	202
107314	211
162719	215
103791	212
18047	194
680029	215
409269	215
446559	215
30703	203
142606	213
259537	214
52026	207
186876	214
391719	215
151548	214
193602	214
198010	214
134185	211
1007	99
208532	214
59736	206
83984	211
340593	215
265349	213
1276773	215
398042	215
65239	209
31197	201
205895	213
124546	213
821906	215
679063	215
153348	213
108574	210
38252	204
91217	211
92340	211
71888	209
28274	196
323022	215
246326	214
293040	214
110164	212
286273	215
287559	215
116734	211
559250	215
30929	199
40868	200
133008	213
5970	161
166799	214
274505	214
31715	202
25115	194
67323	208
533592	215
48388	203
36453	202
123388	212
15471	189
233266	215
5798	162
4136	152
33769	201
295797	213
129763	213
83221	210
38252	203
85823	210
287966	215
226638	214
182217	213
176447	213
98322	210
364901	215
158855	214
68625	207
176867	212
70027	210
340647	216
24473	191
84723	210
9560	175
47604	206
58071	207
44358	207
189817	215
276903	215
142753	211
65945	206
17903	191
44438	203
5840	166
256027	215
155704	212
153726	212
71290	208
60336	203
105181	212
55295	207
30635	205
163038	214
293360	216
150701	212
14118	184
267741	214
371417	215
156152	212
142499	212
191008	213
30096	197
160012	214
20803	189
16193	191
5861	162
133559	215
81429	210
548775	215
264206	214
260182	215
414092	215
462296	215
61121	206
405621	215
31460	197
44203	202
119261	214
88235	210
49393	205
785735	215
149042	212
225704	215
202730	213
640546	215
131000	210
192245	214
303732	215
296314	214
280167	215
599725	214
735252	215
46369	206
149698	212
109844	209
368367	214
311866	215
23025	190
157336	212
165901	215
100090	210
29721	197
75575	208
70810	209
229990	212
167873	213
73933	209
360280	215
40037	197
527456	215
2632	144
322565	215
256409	213
41555	205
331420	215
8187	175
218810	213
9274	178
155856	213
214422	214
96927	212
249528	213
203861	214
18129	185
98779	212
138669	212
79747	208
260447	215
274669	215
6056	166
80088	212
773850	215
181906	212
167085	210
413773	214
135557	212
124464	211
316305	215
587291	215
45913	206
153365	214
92925	211
48897	207
456168	215
153185	214
44190	202
119392	212
10220	180
55197	207
217615	215
390556	216
51167	201
112581	209
35617	206
84896	213
179092	213
701376	215
206507	213
95394	213
68071	207
748571	215
177092	212
110221	212
277297	215
193231	214
49501	204
